pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
N03_189012,NODE_N03_S_PAV_ESC_TP,NODE_N03_MZ,1,1,137.6349237,30,,,,,Exit to South Entrance
N03_189017,NODE_N03_MZ,NODE_N03_MZ_FG_UNPAID,1,1,16.0732379,3,,,,,
N03_189018,NODE_N03_MZ_FG_UNPAID,NODE_N03_MZ_FG_PAID,6,0,6.02178319,3,,,,,
N03_189099,NODE_N03_MZ_FG_PAID,NODE_N03_MZ_FG_UNPAID,7,0,6.02178319,3,,,,,
N03_189035,NODE_N03_MZ_FG_PAID,NODE_N03_MZ_ELE_TP,1,1,83.9810161,18,,,,"Elevator, Wheelchair Accessible",
N03_189029,NODE_N03_MZ_FG_PAID,NODE_N03_MZ_ESC1_TP,1,1,108.4751452,24,,,,,
N03_189024,NODE_N03_MZ_FG_PAID,NODE_N03_MZ_ESC2_TP,1,1,176.7318496,43,,,,,
N03_189037,NODE_N03_MZ_ELE_TP,NODE_N03_MZ_ELE_BT,5,1,3.612198996,180,,,,,
N03_189053,NODE_N03_MZ_ESC1_TP,NODE_N03_MZ_ESC1_BT,4,0,75.63855223,38,,,,Trains,
N03_189052,NODE_N03_MZ_ESC1_TP,NODE_N03_MZ_ESC1_BT,2,1,75.83175349,51,-45,,,Trains,Exit
N03_189055,NODE_N03_MZ_ESC2_BT,NODE_N03_MZ_ESC2_TP,4,0,75.89830225,38,,,,Exit,
N03_189062,NODE_N03_MZ_ESC2_BT,NODE_N03_MZ_ESC2_TP,2,1,76.75603999,51,-45,,,Exit,Trains
N03_189199,NODE_N03_MZ_ELE_TP,NODE_N03_MZ_ESC1_TP,1,1,74.16948123,16,,,,,
N03_189198,NODE_N03_MZ_ELE_TP,NODE_N03_MZ_ESC2_TP,1,1,142.4261857,31,,,,,
N03_189197,NODE_N03_MZ_ESC1_TP,NODE_N03_MZ_ESC2_TP,1,1,100.0083582,22,,,,,
N03_189065,NODE_N03_MZ_ESC2_BT,PLF_N03_SV_DOWNTOWN_LARGO,1,1,12.15432692,3,,,,Silver Line - Trains to Downtown Largo,
N03_189064,NODE_N03_MZ_ESC2_BT,PLF_N03_SV_WIEHLE_RESTON_EAST,1,1,12.68520855,3,,,,Silver Line - Trains to Wiehle - Reston East,
N03_189061,NODE_N03_MZ_ESC1_BT,PLF_N03_SV_DOWNTOWN_LARGO,1,1,78.60342979,17,,,,Silver Line - Trains to Downtown Largo,
N03_189060,NODE_N03_MZ_ESC1_BT,PLF_N03_SV_WIEHLE_RESTON_EAST,1,1,79.26123869,17,,,,Silver Line - Trains to Wiehle - Reston East,
N03_189072,NODE_N03_MZ_ELE_BT,PLF_N03_SV_DOWNTOWN_LARGO,1,1,189.680954,41,,,,Silver Line - Trains to Downtown Largo,"Elevator, Wheelchair Accessible"
N03_189071,NODE_N03_MZ_ELE_BT,PLF_N03_SV_WIEHLE_RESTON_EAST,1,1,192.1249623,42,,,,Silver Line - Trains to Wiehle - Reston East,"Elevator, Wheelchair Accessible"
N03_189196,NODE_N03_MZ_ELE_BT,NODE_N03_MZ_ESC1_BT,1,1,138.095666,30,,,,,
N03_189195,NODE_N03_MZ_ELE_BT,NODE_N03_MZ_ESC2_BT,1,1,204.8101709,45,,,,,
N03_189194,NODE_N03_MZ_ESC1_BT,NODE_N03_MZ_ESC2_BT,1,1,90.75775671,20,,,,,
N03_189131,PLF_N03_SV_DOWNTOWN_LARGO,PF_N03_C,1,1,12.65487458,3,,,,,
N03_189132,PLF_N03_SV_WIEHLE_RESTON_EAST,PF_N03_C,1,1,12.73437425,3,,,,,
N02_188034,NODE_N02_S_PAV_ESC_TP,ENT_N02_S_PAV,4,0,117.523029,59,,,,Exit,
N02_188035,ENT_N02_S_PAV,NODE_N02_S_PAV_ESC_TP,2,1,109.0750021,73,54,,,Metro - Tysons Station,
N02_188036,ENT_N02_S_PAV,NODE_N02_S_PAV_ESC_TP,4,0,117.5043373,59,,,,Metro - Tysons Station,
N02_188027,ENT_N02_S_PAV_EL,NODE_N02_S_PAV_ELE_BT,1,1,11.24693143,2,,,,"Elevator to Pedestrian Bridge, Wheelchair Accessible",
N02_188026,NODE_N02_S_PAV_ELE_BT,NODE_N02_S_PAV_ELE_TP,5,1,3.692572676,180,,,,,
N02_188023,NODE_N02_S_PAV_ELE_TP,NODE_N02_S_PAV_ESC_TP,1,1,18.26352987,4,,,,,"Elevator to Street, Wheelchair Accessible"
N02_188016,ENT_N02_W,ENT_N02_W_ESC_MID,4,0,89.12897716,45,,,,Metro - Tysons Station,
N02_188017,ENT_N02_W_ESC_MID,ENT_N02_W,4,0,99.8432142,50,,,,Exit to Ground Level Entry Plaza,
N02_188004,ENT_N02_W_ESC_MID,NODE_N02_W_ESC_TP,4,0,75.64096047,38,,,,,
N02_188003,NODE_N02_W_ESC_TP,ENT_N02_W_ESC_MID,4,0,75.63575319,38,,,,Exit to North Bus Bays/Tysons Galleria/Tysons Blvd,
N02_188011,ENT_N02_W_EL,NODE_N02_W_ELE_BT,1,1,11.382506,2,,,,"Elevator to Mezzanine, Wheelchair Accessible",
N02_188009,NODE_N02_W_ELE_BT,NODE_N02_W_ELE_TP,5,1,3.715737953,180,,,,,
N02_188007,NODE_N02_W_ELE_TP,NODE_N02_W_ESC_TP,1,1,34.47495207,7,,,,,"Elevator to Street, Wheelchair Accessible"
N02_188021,NODE_N02_S_PAV_ESC_TP,NODE_N02_W_ESC_TP,1,1,335.3370077,73,,,,,Exit to South Bus Bays/Tysons Corner Center
N02_188040,NODE_N02_W_ESC_TP,NODE_N02_MZ_FG_UNPAID,1,1,32.88057976,7,,,,,
N02_188041,NODE_N02_MZ_FG_UNPAID,NODE_N02_MZ_FG_PAID,6,0,5.977186957,3,,,,,
N02_188102,NODE_N02_MZ_FG_PAID,NODE_N02_MZ_FG_UNPAID,7,0,5.977186957,3,,,,,
N02_188047,NODE_N02_MZ_ELV_TP,NODE_N02_MZ_ESC1_TP,1,1,66.9746548,15,,,,,
N02_188045,NODE_N02_MZ_ELV_TP,NODE_N02_MZ_ESC2_TP,1,1,138.1645841,30,,,,,
N02_188056,NODE_N02_MZ_ESC1_TP,NODE_N02_MZ_ESC2_TP,1,1,102.6143623,22,,,,,
N02_188049,NODE_N02_MZ_ELV_TP,NODE_N02_MZ_ELV_BT,5,1,3.595789035,180,,,,,
N02_188064,NODE_N02_MZ_ESC1_TP,NODE_N02_MZ_ESC1_BT,4,0,60.29200793,30,,,,Trains,
N02_188063,NODE_N02_MZ_ESC1_TP,NODE_N02_MZ_ESC1_BT,2,1,61.01515846,41,-28,,,Trains,Exit
N02_188066,NODE_N02_MZ_ESC2_BT,NODE_N02_MZ_ESC2_TP,4,0,59.85826609,30,,,,Exit,
N02_188065,NODE_N02_MZ_ESC2_TP,NODE_N02_MZ_ESC2_BT,2,1,60.59059302,40,-28,,,Trains,Exit
N02_188051,NODE_N02_MZ_ELV_BT,NODE_N02_MZ_ESC1_BT,1,1,121.6889757,26,,,,,
N02_188079,NODE_N02_MZ_ELV_BT,NODE_N02_MZ_ESC2_BT,1,1,189.0315614,41,,,,,
N02_188076,NODE_N02_MZ_ESC1_BT,NODE_N02_MZ_ESC2_BT,1,1,90.99863188,20,,,,,
N02_188103,NODE_N02_MZ_FG_PAID,NODE_N02_MZ_ELV_TP,1,1,69.49032658,15,,,,"Elevator, Wheelchair Accessible",
N02_188104,NODE_N02_MZ_FG_PAID,NODE_N02_MZ_ESC1_TP,1,1,103.3865944,22,,,,,
N02_188105,NODE_N02_MZ_FG_PAID,NODE_N02_MZ_ESC2_TP,1,1,174.5765233,38,,,,,
N02_188074,NODE_N02_MZ_ELV_BT,PLF_N02_SV_DOWNTOWN_LARGO,1,1,177.8045429,39,,,,Silver Line - Trains to Downtown Largo,"Elevator, Wheelchair Accessible"
N02_188082,NODE_N02_MZ_ELV_BT,PLF_N02_SV_WIEHLE_RESTON_EAST,1,1,181.5158126,39,,,,Silver Line - Trains to Wiehle - Reston East,"Elevator, Wheelchair Accessible"
N02_188107,NODE_N02_MZ_ESC1_BT,PLF_N02_SV_WIEHLE_RESTON_EAST,1,1,79.29702513,17,,,,Silver Line - Trains to Wiehle - Reston East,
N02_188077,NODE_N02_MZ_ESC1_BT,PLF_N02_SV_DOWNTOWN_LARGO,1,1,78.51711242,17,,,,Silver Line - Trains to Downtown Largo,
N02_188071,NODE_N02_MZ_ESC2_BT,PLF_N02_SV_WIEHLE_RESTON_EAST,1,1,11.70160675,3,,,,Silver Line - Trains to Wiehle - Reston East,
N02_188106,NODE_N02_MZ_ESC2_BT,PLF_N02_SV_DOWNTOWN_LARGO,1,1,11.22701849,2,,,,Silver Line - Trains to Downtown Largo,
N02_188108,PLF_N02_SV_DOWNTOWN_LARGO,PF_N02_C,1,1,17.86894664,4,,,,,
N02_188109,PLF_N02_SV_WIEHLE_RESTON_EAST,PF_N02_C,1,1,17.48702376,4,,,,,
N01_187078,ENT_N01_S_PAV,NODE_N01_S_PAV_ESC_TP,4,0,91.27639311,46,,,,Metro - McLean Station,
N01_187077,ENT_N01_S_PAV,NODE_N01_S_PAV_ESC_TP,2,1,82.51437083,55,42,,,Metro - McLean Station,
N01_187076,NODE_N01_S_PAV_ESC_TP,ENT_N01_S_PAV,4,0,90.91689446,45,,,,Exit,
N01_187075,ENT_N01_S_PAV_EL,NODE_N01_S_PAV_ELE_BT,1,1,8.552617336,2,,,,"Elevator to Pedestrian Bridge, Wheelchair Accessible",
N01_187072,NODE_N01_S_PAV_ELE_BT,NODE_N01_S_PAV_ELE_TP,5,1,3.716416578,180,,,,,
N01_187071,NODE_N01_S_PAV_ELE_TP,NODE_N01_S_PAV_ESC_TP,1,1,12.0661355,3,,,,,"Elevator to Street, Wheelchair Accessible"
N01_187064,NODE_N01_S_PAV_ESC_TP,NODE_N01_E_PAV_ESC_TP,1,1,420.1083849,91,,,,,Exit to South Entrance/Buses/Parking/Kiss and Ride
N01_187062,ENT_N01_E_EL,NODE_N01_E_PAV_ELE_BT,1,1,19.00329666,4,,,,"Elevator to Mezzanine, Wheelchair Accessible",
N01_187061,NODE_N01_E_PAV_ELE_BT,NODE_N01_E_PAV_ELE_TP,5,1,3.965483359,180,,,,,
N01_187060,NODE_N01_E_PAV_ELE_TP,NODE_N01_E_PAV_ESC_TP,1,1,147.8699054,32,,,,,"Elevator to Street, Wheelchair Accessible"
N01_187051,ENT_N01_E,NODE_N01_E_PAV_ESC_TP,4,0,91.20580072,46,,,,Metro - McLean Station,
N01_187050,ENT_N01_E,NODE_N01_E_PAV_ESC_TP,2,1,82.74395421,55,54,,,Metro - McLean Station,Exit to Buses
N01_187049,NODE_N01_E_PAV_ESC_TP,ENT_N01_E,4,0,91.07037641,46,,,,,Exit to Buses
N01_187045,NODE_N01_E_PAV_ESC_TP,NODE_N01_MZ_FG_UNPAID,1,1,40.5701893,9,,,,,
N01_187044,NODE_N01_MZ_FG_UNPAID,NODE_N01_MZ_FG_PAID,6,0,5.938631737,5,,,,,
N01_187096,NODE_N01_MZ_FG_PAID,NODE_N01_MZ_FG_UNPAID,7,0,5.938631737,5,,,,,
N01_187042,NODE_N01_MZ_FG_PAID,NODE_N01_MZ_ELE_BT,1,1,74.07451473,16,,,,"Elevator, Wheelchair Accessible",
N01_187022,NODE_N01_MZ_ELE_BT,NODE_N01_MZ_ELE_TP,5,1,3.617391087,180,,,,,
N01_187040,NODE_N01_MZ_FG_PAID,NODE_N01_MZ_ESC1_BT,1,1,109.9199376,24,,,,,
N01_187034,NODE_N01_MZ_FG_PAID,NODE_N01_MZ_ESC2_BT,1,1,187.4051315,41,,,,,
N01_187038,NODE_N01_MZ_ELE_BT,NODE_N01_MZ_ESC1_BT,1,1,69.85558951,15,,,,,
N01_187097,NODE_N01_MZ_ELE_BT,NODE_N01_MZ_ESC2_BT,1,1,147.3407728,32,,,,,
N01_187098,NODE_N01_MZ_ESC1_BT,NODE_N01_MZ_ESC2_BT,1,1,108.594147,24,,,,,
N01_187029,NODE_N01_MZ_ESC1_BT,NODE_N01_MZ_ESC1_TP,4,0,69.83674356,35,,,,Trains,
N01_187030,NODE_N01_MZ_ESC1_BT,NODE_N01_MZ_ESC1_TP,2,1,70.22407131,47,42,,,Trains,Exit
N01_187027,NODE_N01_MZ_ESC2_TP,NODE_N01_MZ_ESC2_BT,4,0,70.06419207,35,,,,Exit,
N01_187028,NODE_N01_MZ_ESC2_TP,NODE_N01_MZ_ESC2_BT,2,1,70.45217796,47,-42,,,Exit,Trains
N01_187013,NODE_N01_MZ_ELE_TP,NODE_N01_MZ_ESC1_TP,1,1,131.97583,29,,,,,
N01_187003,NODE_N01_MZ_ELE_TP,NODE_N01_MZ_ESC2_TP,1,1,207.4738964,45,,,,,
N01_187011,NODE_N01_MZ_ESC1_TP,NODE_N01_MZ_ESC2_TP,1,1,95.22426239,21,,,,,
N01_187014,NODE_N01_MZ_ELE_TP,PLF_N01_SV_DOWNTOWN_LARGO,1,1,125.8826264,27,,,,Silver Line - Trains to Downtown Largo,"Elevator, Wheelchair Accessible"
N01_187099,NODE_N01_MZ_ELE_TP,PLF_N01_SV_WIEHLE_RESTON_EAST,1,1,122.112738,27,,,,Silver Line - Trains to Wiehle - Reston East,"Elevator, Wheelchair Accessible"
N01_187012,NODE_N01_MZ_ESC1_TP,PLF_N01_SV_DOWNTOWN_LARGO,1,1,11.02853492,2,,,,Silver Line - Trains to Downtown Largo,
N01_187104,NODE_N01_MZ_ESC1_TP,PLF_N01_SV_WIEHLE_RESTON_EAST,1,1,9.863091999,2,,,,Silver Line - Trains to Wiehle - Reston East,
N01_187010,NODE_N01_MZ_ESC2_TP,PLF_N01_SV_DOWNTOWN_LARGO,1,1,85.87362823,19,,,,Silver Line - Trains to Downtown Largo,
N01_187009,NODE_N01_MZ_ESC2_TP,PLF_N01_SV_WIEHLE_RESTON_EAST,1,1,85.36117039,19,,,,Silver Line - Trains to Wiehle - Reston East,
N01_187101,PLF_N01_SV_WIEHLE_RESTON_EAST,PF_N01_C,1,1,29.02286425,6,,,,,
N01_187102,PLF_N01_SV_DOWNTOWN_LARGO,PF_N01_C,1,1,28.73172424,6,,,,,
K08_186007,ENT_K08_S,NODE_K08_MZ,1,1,146.7070132,32,,,,,Saintsbury Drive/South Access Rd/Kiss and Ride/Park and Ride/South Parking Garage
K08_186006,ENT_K08_N,NODE_K08_MZ,1,1,204.6790549,44,,,,,Virginia Center Boulevard/North Access Rd/Kiss & Ride/Park & Ride/ North Parking Garage
K08_186008,NODE_K08_MZ,NODE_K08_MZ_FG_UNPAID,1,1,55.98806049,12,,,,,
K08_186009,NODE_K08_MZ_FG_UNPAID,NODE_K08_MZ_FG_PAID,6,0,3.695257392,5,,,,,
K08_186100,NODE_K08_MZ_FG_PAID,NODE_K08_MZ_FG_UNPAID,7,0,3.695257392,5,,,,,
K08_186010,NODE_K08_MZ_FG_PAID,NODE_K08_MZ_ESC1_TP,1,1,37.56081011,8,,,,,
K08_186014,NODE_K08_MZ_FG_PAID,NODE_K08_MZ_ESC2_TP,1,1,135.4449386,29,,,,,
K08_186019,NODE_K08_MZ_FG_PAID,NODE_K08_MZ_ELE_TP,1,1,146.333421,32,,,,"Elevator to Train Platform, Wheelchair Accessible",
K08_186022,NODE_K08_MZ_ESC1_TP,NODE_K08_MZ_ESC1_BT,4,0,56.89800818,28,,,,Orange Line to New Carrollton,
K08_186023,NODE_K08_MZ_ESC1_BT,NODE_K08_MZ_ESC1_TP,4,0,56.89491125,28,,,,Exit,
K08_186024,NODE_K08_MZ_ESC2_BT,NODE_K08_MZ_ESC2_TP,4,0,54.54269701,27,,,,Exit,
K08_186020,NODE_K08_MZ_ELE_TP,NODE_K08_MZ_ELE_BT,5,1,2.535984275,180,,,,,
K08_186041,NODE_K08_MZ_ESC1_BT,PLF_K08_OR_NEW_CARROLLTON,1,1,95.47443325,21,,,,Orange Line - Trains to New Carrollton,
K08_186021,NODE_K08_MZ_ELE_BT,PLF_K08_OR_NEW_CARROLLTON,1,1,78.84063171,17,,,,Orange Line - Trains to New Carrollton,"Elevator to Mezzanine, Wheelchair Accessible"
K08_186035,NODE_K08_MZ_ESC2_BT,PLF_K08_OR_NEW_CARROLLTON,1,1,11.57233504,3,,,,Orange Line - Trains to New Carrollton,
K08_186018,NODE_K08_MZ_ESC2_TP,NODE_K08_MZ_ESC2_BT,2,1,72.49653966,48,-30,,,Orange Line to New Carrollton,Exit
K08_186017,PLF_K08_OR_NEW_CARROLLTON,PF_K08_C,1,1,75.304822,16,,,,,
K07_185010,ENT_K07_M,NODE_K07_MZ,1,1,136.41051,30,,,,,
K07_185012,NODE_K07_MZ,NODE_K07_MZ_FG_UNPAID,1,1,20.12836452,4,,,,,
K07_185014,NODE_K07_MZ_FG_UNPAID,NODE_K07_MZ_FG_PAID,6,0,6.592396193,5,,,,,
K07_185099,NODE_K07_MZ_FG_PAID,NODE_K07_MZ_FG_UNPAID,7,0,6.592396193,5,,,,,
K07_185016,NODE_K07_MZ_FG_PAID,NODE_K07_ELE_TP,1,1,20.33022702,4,,,,"Elevator to Platform, Wheelchair Accessible",
K07_185017,NODE_K07_MZ_FG_PAID,NODE_K07_ESC_TP,1,1,55.61125102,12,,,,,
