level_id,level_index,level_name
C05_L2,-2,Lower Platform
C04_L0,0,Street
C04_L1,-1,Mezzanine
C04_L2,-2,Platform
C03_L0,0,Street
C03_L1,-1,Mezzanine
C03_L2,-2,Platform
C02_L0,0,Street
C02_L1,-1,Mezzanine
C02_L2,-2,Platform
B35_L0,0,Street/Mezzanine
B35_L1,1,Platform
B11_L0,0,Street
B11_L1,-1,Mezzanine
B11_L2,-2,Platform
B10_L0,0,Street
B10_L1,-1,Mezzanine
B10_L2,-2,Platform
B09_L0,0,Street
B09_L1,-1,Mezzanine
B09_L2,-2,Platform
B08_L0,0,Street/Mezzanine
B08_L1,1,Platform
B07_L0,0,Street/Mezzanine
B07_L1,1,Platform
B06_E06_L0,0,Street/Mezzanine
B06_E06_L1,1,Upper Platform
B06_E06_L2,-1,Lower Platform
B05_L0,0,Street
B05_L1,-1,Mezzanine
B05_L2,1,Platform
B04_L0,0,Street/Mezzanine
B04_L1,1,Platform
B03_L0,0,Street
B03_L1,-1,Mezzanine
B03_L2,-2,Platform
B02_L0,0,Street
B02_L1,-1,Mezzanine
B02_L2,-2,Platform
B01_F01_L0,0,Street
B01_F01_L1,-1,Mezzanine/Intermediate Passageway
B01_F01_L2,-2,Lower Mezzanine/Upper Platform
B01_F01_L3,-3,Lower Platform
A15_L0,0,Street
A15_L1,-1,Mezzanine
A15_L2,1,Platform
A14_L0,0,Street/Mezzanine
A14_L1,1,Platform
A13_L0,0,Street/Mezzanine
A13_L1,1,Platform
A12_L0,0,Street/Mezzanine
A12_L1,-1,Platform
A11_L0,0,Street
A11_L1,1,Mezzanine
A11_L2,-1,Platform
A10_L0,0,Street
A10_L1,-1,Mezzanine
A10_L2,-2,Platform
A09_L0,0,Street
A09_L1,-1,Mezzanine
A09_L2,-2,Platform
A08_L0,0,Street
A08_L1,-1,Mezzanine
A08_L2,-2,Platform
A07_L0,0,Street
A07_L1,-1,Mezzanine/Intermediate Passageway
A07_L2,-2,Platform
A06_L0,0,Street
A06_L1,-1,Mezzanine/Intermediate Passageway
A06_L2,-2,Platform
A05_L0,0,Street
A05_L1,-1,Mezzanine/Intermediate Passageway
A05_L2,-2,Platform
A04_L0,0,Street
A04_L1,-1,Mezzanine/Intermediate Passageway
A04_L2,-2,Platform
A03_L0,0,Street
A03_L1,-1,Mezzanine
A03_L2,-2,Platform
A02_L0,0,Street
A02_L1,-1,Mezzanine
A02_L2,-2,Platform
A01_C01_L0,0,Street
A01_C01_L1,-1,Mezzanine
A01_C01_L2,-2,Lower Mezzanine/Upper Platform
A01_C01_L3,-3,Lower Platform
